Module,/vanets/src/results/SingleCH_Safety_B_100Bytes_Q_5-0_27Mbitrate.sca_SingleCH_Safety_B_100Bytes_Q_5-0-20161009-19:32:19-18220_ReceivedBroadcasts,/vanets/src/results/SingleCH_Safety_B_100Bytes_Q_5-0.sca_SingleCH_Safety_B_100Bytes_Q_5-0-20161107-12:43:08-23596_ReceivedBroadcasts
RSUScenario.node[1].nic.mac1609_4,30342,28808
RSUScenario.node[3].nic.mac1609_4,30290,28789
RSUScenario.node[4].nic.mac1609_4,30257,28758
RSUScenario.node[0].nic.mac1609_4,5942,5820
RSUScenario.node[5].nic.mac1609_4,29412,28015
RSUScenario.node[14].nic.mac1609_4,22531,20433
RSUScenario.node[15].nic.mac1609_4,22124,20055
RSUScenario.node[16].nic.mac1609_4,21702,19765
RSUScenario.node[17].nic.mac1609_4,21269,19549
RSUScenario.node[18].nic.mac1609_4,20823,19250
RSUScenario.node[19].nic.mac1609_4,20223,18776
RSUScenario.node[20].nic.mac1609_4,19384,18222
RSUScenario.node[21].nic.mac1609_4,18241,17069
RSUScenario.node[22].nic.mac1609_4,11135,10500
RSUScenario.node[23].nic.mac1609_4,10656,10003
RSUScenario.node[6].nic.mac1609_4,29307,27566
RSUScenario.node[24].nic.mac1609_4,10128,9477
RSUScenario.node[25].nic.mac1609_4,9544,8901
RSUScenario.node[26].nic.mac1609_4,8919,8264
RSUScenario.node[27].nic.mac1609_4,8139,7441
RSUScenario.node[28].nic.mac1609_4,7096,6368
RSUScenario.node[29].nic.mac1609_4,5698,5088
RSUScenario.node[30].nic.mac1609_4,4130,3659
RSUScenario.node[31].nic.mac1609_4,2100,1833
RSUScenario.node[7].nic.mac1609_4,29122,27365
RSUScenario.node[8].nic.mac1609_4,28812,27316
RSUScenario.node[9].nic.mac1609_4,28311,26722
RSUScenario.node[10].nic.mac1609_4,27773,26018
RSUScenario.node[11].nic.mac1609_4,27103,25189
RSUScenario.node[12].nic.mac1609_4,23202,21293
RSUScenario.node[13].nic.mac1609_4,22879,20856
RSUScenario.node[2].nic.mac1609_4,28376,27148
